measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,160,Afghanistan,3,Both,22,All ages,294,All causes,1,Number,1998,272457.9928776975,302251.111480356,245351.23620462304
1,Deaths,43,Albania,3,Both,22,All ages,294,All causes,1,Number,2019,22670.530010557,28339.25407964608,17930.440944923896
1,Deaths,139,Algeria,3,Both,22,All ages,294,All causes,1,Number,2019,201110.9847621541,234167.94840577047,172237.51851196273
1,Deaths,298,American Samoa,3,Both,22,All ages,294,All causes,1,Number,2019,383.0963984918668,444.5785551756195,331.56639729763623
1,Deaths,74,Andorra,3,Both,22,All ages,294,All causes,1,Number,2019,619.710819198448,753.2498488226968,500.4258580983959
1,Deaths,168,Angola,3,Both,22,All ages,294,All causes,1,Number,1998,209365.8265106845,226309.94474553489,193043.7481479191
1,Deaths,105,Antigua and Barbuda,3,Both,22,All ages,294,All causes,1,Number,2019,609.8572375395273,684.523404620397,542.0170984061672
1,Deaths,97,Argentina,3,Both,22,All ages,294,All causes,1,Number,2019,348822.57998434885,356183.6550757176,342133.3902910787
1,Deaths,33,Armenia,3,Both,22,All ages,294,All causes,1,Number,2019,27978.060787273684,31966.14134491131,24372.08495179752
1,Deaths,71,Australia,3,Both,22,All ages,294,All causes,1,Number,2019,170852.42606771828,174127.39014414084,167797.27855209156
1,Deaths,75,Austria,3,Both,22,All ages,294,All causes,1,Number,2019,82489.99900267647,83865.03197808687,81198.86846437061
1,Deaths,34,Azerbaijan,3,Both,22,All ages,294,All causes,1,Number,2017,76169.77810708553,83134.97256534161,69290.87670357717
1,Deaths,106,Bahamas,3,Both,22,All ages,294,All causes,1,Number,2019,2731.393175393675,3263.67119190193,2320.1100592816115
1,Deaths,140,Bahrain,3,Both,22,All ages,294,All causes,1,Number,2019,4265.867512888936,5087.53907591505,3552.8007446094093
1,Deaths,161,Bangladesh,3,Both,22,All ages,294,All causes,1,Number,1991,1208962.0661783656,1272076.3812586074,1149845.1900698745
1,Deaths,107,Barbados,3,Both,22,All ages,294,All causes,1,Number,2019,3093.2102048490187,3539.17508516281,2662.290859732563
1,Deaths,57,Belarus,3,Both,22,All ages,294,All causes,1,Number,2002,146094.83736182263,147586.8509573093,144602.4756739156
1,Deaths,76,Belgium,3,Both,22,All ages,294,All causes,1,Number,2019,114073.5360324924,116380.85704580044,111912.45787595167
1,Deaths,108,Belize,3,Both,22,All ages,294,All causes,1,Number,2019,1990.122157273373,2229.3460981819244,1776.2332673293954
1,Deaths,200,Benin,3,Both,22,All ages,294,All causes,1,Number,2017,93780.59242269442,113676.82776313122,77592.92376091733
1,Deaths,305,Bermuda,3,Both,22,All ages,294,All causes,1,Number,2019,579.5979577084522,677.5726948373097,512.1782869523119
1,Deaths,162,Bhutan,3,Both,22,All ages,294,All causes,1,Number,1990,5661.809686975763,6661.470530368264,4772.503570481211
1,Deaths,121,Bolivia (Plurinational State of),3,Both,22,All ages,294,All causes,1,Number,2019,75910.01627480438,88752.51363005389,63483.31178581917
1,Deaths,44,Bosnia and Herzegovina,3,Both,22,All ages,294,All causes,1,Number,1995,41163.58329912845,48191.99942571807,35694.941116104405
1,Deaths,193,Botswana,3,Both,22,All ages,294,All causes,1,Number,2002,31977.41487791553,38601.81424417271,25651.503038047515
1,Deaths,135,Brazil,3,Both,22,All ages,294,All causes,1,Number,2019,1411015.8379720994,1448297.815565552,1375411.5282993906
1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,294,All causes,1,Number,2019,1880.298977932321,2081.369676163836,1703.405529342452
1,Deaths,45,Bulgaria,3,Both,22,All ages,294,All causes,1,Number,1997,134694.6119709022,138892.1202297222,130570.99110090532
